% Model,3D-1.2.mph,,
% Version,COMSOL 6.3.0.420,,
% Date,10/4/2025 0:00,,
% Dimension,3,,
% Nodes,68921,,
% Expressions,1,,
% Description,Electric potential,,
% Length unit,µm,,
% x,y,z,V (V) @ 1: Vrf1=1 V; Vrf2=1 V; Vdc1=0 V; Vdc2=0 V; Vdc3=0 V
7,-9.5,-10,0.3675500758718425
7.499999999999999,-9.5,-10,0.3678319358459729
8,-9.5,-10,0.36812494637246584
8.5,-9.5,-10,0.368429107451321
9,-9.5,-10,0.3687444190825388
9.499999999999998,-9.5,-10,0.36907088126611887
10,-9.5,-10,0.36940849400206127
-10,-9,-10,0.36972362129255304
-9.5,-9,-10,0.3692349847020834
-9,-9,-10,0.3687578700852797
-8.5,-9,-10,0.3682922774421417
-8,-9,-10,0.36783820677266993
-7.5,-9,-10,0.36739565807686403
-7,-9,-10,0.36703173231223135
-6.5,-9,-10,0.3667163880378432
-6,-9,-10,0.3664262358815523
-5.5,-9,-10,0.36616127584335834
-5,-9,-10,0.3659215079232617
-4.5,-9,-10,0.3657069321212625
-4,-9,-10,0.3655175484373602
-3.5,-9,-10,0.3653533568715552
-3,-9,-10,0.36521435742384756
-2.5,-9,-10,0.365100550094237
-2,-9,-10,0.36502324563920613
-1.5,-9,-10,0.36500495052448
-1,-9,-10,0.3650165262856375
-0.5,-9,-10,0.36505797292267794
0,-9,-10,0.36512929043560166
0.5,-9,-10,0.3652304788244088
1,-9,-10,0.3653615380890988
1.5,-9,-10,0.36552246822967216
2,-9,-10,0.36571326924612874
2.5,-9,-10,0.36590207503086797
3,-9,-10,0.3659817212641574
3.5,-9,-10,0.36616112968646397
4,-9,-10,0.3663607568216991
4.5,-9,-10,0.3665715345092969
5,-9,-10,0.366793462749257
5.5,-9,-10,0.36702654154157954
6,-9,-10,0.3672707708862644
6.5,-9,-10,0.36752615078331174
7,-9,-10,0.36779268123272135
7.499999999999999,-9,-10,0.3680703622344936
8,-9,-10,0.36835919378862797
8.5,-9,-10,0.36865917589512487
9,-9,-10,0.36897030855398427
9.499999999999998,-9,-10,0.3692925917652059
10,-9,-10,0.36962602552879004
-10,-8.5,-10,0.36988909075441506
-9.5,-8.5,-10,0.3694142451517812
-9,-8.5,-10,0.3689509215228131
-8.5,-8.5,-10,0.36849911986751094
-8,-8.5,-10,0.36805884018587504
-7.5,-8.5,-10,0.36763008247790485
-7,-8.5,-10,0.3672335480314501
-6.5,-8.5,-10,0.36692582542919316
-6,-8.5,-10,0.36664329494503317
-5.5,-8.5,-10,0.36638595657897066
-5,-8.5,-10,0.3661538103310054
-4.5,-8.5,-10,0.365946856201137
-4,-8.5,-10,0.36576509418936626
-3.5,-8.5,-10,0.3656085242956924
-3,-8.5,-10,0.36547714652011587
-2.5,-8.5,-10,0.3653709608626366
-2,-8.5,-10,0.3652899673232544
-1.5,-8.5,-10,0.3652341659019696
-1,-8.5,-10,0.3652169010900686
-0.5,-8.5,-10,0.3652627833221551
0,-8.5,-10,0.3653385364301249
0.5,-8.5,-10,0.36544416041397787
1,-8.5,-10,0.3655796552737139
1.5,-8.5,-10,0.36574502100933326
2,-8.5,-10,0.3659402576208358
2.5,-8.5,-10,0.3661351661077452
3,-8.5,-10,0.36622346438890185
3.5,-8.5,-10,0.36640776199941655
4,-8.5,-10,0.3666032101622934
4.5,-8.5,-10,0.3668098088775327
5,-8.5,-10,0.36702755814513427
5.5,-8.5,-10,0.3672564579650984
6,-8.5,-10,0.36749650833742503
6.5,-8.5,-10,0.367747709262114
7,-8.5,-10,0.36801006073916526
7.499999999999999,-8.5,-10,0.36828356276857904
8,-8.5,-10,0.36856821535035494
8.5,-8.5,-10,0.36886401848449357
9,-8.5,-10,0.3691709721709945
9.499999999999998,-8.5,-10,0.3694890764098579
10,-8.5,-10,0.36981833120108387
-10,-8,-10,0.37003001452668016
-9.5,-8,-10,0.36956895991188204
-9,-8,-10,0.36911942727074987
-8.5,-8,-10,0.3686814166032835
-8,-8,-10,0.36825492790948333
-7.5,-8,-10,0.3678399611893492
-7,-8,-10,0.3674365164428805
-6.5,-8,-10,0.3671134747260659
-6,-8,-10,0.3668385659140373
-5.5,-8,-10,0.3665888492201061
-5,-8,-10,0.3663643246442718
-4.5,-8,-10,0.366164992186535
-4,-8,-10,0.3659908518468951
-3.5,-8,-10,0.36584190362535274
-3,-8,-10,0.36571814752190746
-2.5,-8,-10,0.3656195835365593
-2,-8,-10,0.36554621166930834
-1.5,-8,-10,0.3654980319201546
-1,-8,-10,0.3654750442890981
-0.5,-8,-10,0.3654772487761388
0,-8,-10,0.3655201211761647
