% Model,b=2.52a.mph,,
% Version,COMSOL 6.3.0.420,,
% Date,10/10/2025 0:00,,
% Dimension,3,,
% Nodes,68921,,
% Expressions,1,,
% Description,Electric potential,,
% Length unit,µm,,
% x,y,z,V (V) @ 1: Vrf1=1 V; Vrf2=1 V; Vdc1=0 V; Vdc2=0 V; Vdc3=0 V
28,7,-10,0.5147053292089073
29,7,-10,0.5158119383235117
29.999999999999996,7,-10,0.5169355702805905
-10,8,-10,0.49922528217099277
-9,8,-10,0.4987825043317926
-8,8,-10,0.49838299494221866
-7,8,-10,0.4980301207577053
-6,8,-10,0.497722402620511
-5,8,-10,0.49746071063929337
-4,8,-10,0.4972470349190434
-3,8,-10,0.4970797710456838
-2,8,-10,0.49696018532108777
-1,8,-10,0.4968883414905145
0,8,-10,0.4968640312955064
1,8,-10,0.49688809405507256
2,8,-10,0.4969598184124189
3,8,-10,0.4970799315705488
4,8,-10,0.4972467123352997
5,8,-10,0.4974609398111753
6,8,-10,0.49772238697660265
7,8,-10,0.49803019334728044
8,8,-10,0.49838368265110045
9,8,-10,0.4987822862401985
10,8,-10,0.4992258041814635
11,8,-10,0.49971233537853915
12,8,-10,0.5002420846664943
13,8,-10,0.500813318325969
14,8,-10,0.5014257049042447
14.999999999999998,8,-10,0.5020777086209924
16,8,-10,0.5027679951426245
17,8,-10,0.5034961371862582
18,8,-10,0.5042599077758974
18.999999999999996,8,-10,0.5050584678162976
20,8,-10,0.5058896978106915
21,8,-10,0.5067536469697151
22,8,-10,0.5076468929474142
23,8,-10,0.5085692618960614
24,8,-10,0.5095189473745304
24.999999999999996,8,-10,0.5104933408248871
26,8,-10,0.5114923296692697
27,8,-10,0.5125134468898498
28,8,-10,0.5135543041571854
29,8,-10,0.5146138078334118
29.999999999999996,8,-10,0.5156906382655486
-10,9,-10,0.49866528667602406
-9,9,-10,0.49824147892892384
-8,9,-10,0.4978593031899487
-7,9,-10,0.49752155534270087
-6,9,-10,0.4972267475680251
-5,9,-10,0.49697647203109335
-4,9,-10,0.4967715733101397
-3,9,-10,0.49661112293184845
-2,9,-10,0.4964964549275516
-1,9,-10,0.49642788569182456
0,9,-10,0.49640474255254297
