% Model,Untitled.mph,,
% Version,COMSOL 6.3.0.420,,
% Date,10/7/2025 0:00,,
% Dimension,3,,
% Nodes,68921,,
% Expressions,1,,
% Description,Electric potential,,
% Length unit,µm,,
% x,y,z,V (V) @ 1: Vrf1=1 V; Vrf2=1 V; Vdc1=0 V; Vdc2=0 V; Vdc3=0 V
10,-15,-20,0.4950919561202678
11,-15,-20,0.4964251810758482
12,-15,-20,0.497885249035501
13,-15,-20,0.4994516044644137
14,-15,-20,0.5011201751835593
14.999999999999998,-15,-20,0.502886465300739
16,-15,-20,0.5047502501581611
17,-15,-20,0.5067200450974989
18,-15,-20,0.5087879480781966
18.999999999999996,-15,-20,0.5109445771914696
20,-15,-20,0.5131797458026311
-20,-14,-20,0.513509071658331
-19,-14,-20,0.5113652374915126
-18,-14,-20,0.50930438387875
-17,-14,-20,0.5073312380621817
-16,-14,-20,0.5054380345070694
-15,-14,-20,0.5036510244174418
-14,-14,-20,0.5019598610478513
-13,-14,-20,0.5003652334491078
-12,-14,-20,0.4988677345471952
-11,-14,-20,0.4974824109241539
-10,-14,-20,0.4962121292236078
-9,-14,-20,0.49505646950768123
-8,-14,-20,0.4940121668665179
-7,-14,-20,0.4930792151319432
-6,-14,-20,0.4922769245978221
-5,-14,-20,0.49158990573085626
-4,-14,-20,0.49101923039363804
-3,-14,-20,0.49057807920205854
-2,-14,-20,0.4902664521561181
-1,-14,-20,0.49008342257352266
0,-14,-20,0.4900161725055697
1,-14,-20,0.4900844666727403
2,-14,-20,0.4902793534390566
3,-14,-20,0.4905954902434442
4,-14,-20,0.4910328770859027
5,-14,-20,0.4915915139664322
6,-14,-20,0.4922811733029783
7,-14,-20,0.4930784396130886
8,-14,-20,0.4940102297584703
9,-14,-20,0.4950565065958858
10,-14,-20,0.4962145520216817
11,-14,-20,0.49748951573136546
12,-14,-20,0.4988887663036108
13,-14,-20,0.5003835965982573
14,-14,-20,0.501976646718433
14.999999999999998,-14,-20,0.5036636088746538
16,-14,-20,0.505450235753635
17,-14,-20,0.5073324878254787
18,-14,-20,0.5093093843228979
18.999999999999996,-14,-20,0.5113755523002081
20,-14,-20,0.513518453103339
-20,-13,-20,0.5137716079622785
-19,-13,-20,0.5117220248319999
-18,-13,-20,0.5097502444343258
-17,-13,-20,0.5078575106137555
-16,-13,-20,0.5060485554180856
-15,-13,-20,0.5043340233076054
-14,-13,-20,0.5027141119379902
-13,-13,-20,0.5011888213092397
-12,-13,-20,0.4997621002961429
-11,-13,-20,0.4984398881480323
-10,-13,-20,0.49722147585412957
-9,-13,-20,0.496113571258051
-8,-13,-20,0.49511246851346025
-7,-13,-20,0.4942229465128536
-6,-13,-20,0.4934531025141401
-5,-13,-20,0.49279783917555275
-4,-13,-20,0.49225665137895075
-3,-13,-20,0.49183352586117174
-2,-13,-20,0.49153416741998546
-1,-13,-20,0.4913635232688653
0,-13,-20,0.49130460075897153
1,-13,-20,0.4913593252898371
2,-13,-20,0.49153900179373544
3,-13,-20,0.49183992833570495
4,-13,-20,0.4922621049157455
5,-13,-20,0.49280539228361825
6,-13,-20,0.49346266986056553
7,-13,-20,0.4942273733867766
8,-13,-20,0.49511127073266314
9,-13,-20,0.4961111852558308
10,-13,-20,0.49722175511670624
11,-13,-20,0.4984429803152897
12,-13,-20,0.49977669586604667
13,-13,-20,0.5011997405495192
14,-13,-20,0.5027088349938491
14.999999999999998,-13,-20,0.5043214414285169
16,-13,-20,0.506034635359924
17,-13,-20,0.5078474190068035
18,-13,-20,0.5097474405523506
18.999999999999996,-13,-20,0.5117288013662573
20,-13,-20,0.5137817174046252
-20,-12,-20,0.5139566541912338
-19,-12,-20,0.5119937281086502
-18,-12,-20,0.5101048780673623
-17,-12,-20,0.5082894167119526
-16,-12,-20,0.5065622373491486
-15,-12,-20,0.5049163356474629
-14,-12,-20,0.5033655051365513
-13,-12,-20,0.5019097458164137
-12,-12,-20,0.5005499238741468
-11,-12,-20,0.4992852375732211
-10,-12,-20,0.4981174807372829
-9,-12,-20,0.49705368929387644
-8,-12,-20,0.4960957864458582
